mr_id,input_id,subtask,source_text,source_label,followup_text,expected_output_relation,variant,skip_reason
CHR-GEN-018,imdb-295,SA,"This movie is proof you can't just go to a Redbox and read descriptions of films and pick one and give it a try.<br /><br />While I'll give 'em great credit for having produced a film with halfway-decent special effects on such a low budget, and at least a halfway decent script and story line... unfortunately, it was only just that: halfway decent.<br /><br />If you like movies where things aren't all neatly wrapped up, and don't mind low-budget effects, you might like this film. Honestly, it wasn't really my cup of tea. I should've just gone to bed rather than spend my time watching.<br /><br />For a better science-fiction movie produced on an even LOWER budget (!) have a look at ""Primer.""",0,"THIS MOVIE IS PROOF YOU CAN'T JUST GO TO A REDBOX AND READ DESCRIPTIONS OF FILMS AND PICK ONE AND GIVE IT A TRY.<BR /><BR />WHILE I'LL GIVE 'EM GREAT CREDIT FOR HAVING PRODUCED A FILM WITH HALFWAY-DECENT SPECIAL EFFECTS ON SUCH A LOW BUDGET, AND AT LEAST A HALFWAY DECENT SCRIPT AND STORY LINE... UNFORTUNATELY, IT WAS ONLY JUST THAT: HALFWAY DECENT.<BR /><BR />IF YOU LIKE MOVIES WHERE THINGS AREN'T ALL NEATLY WRAPPED UP, AND DON'T MIND LOW-BUDGET EFFECTS, YOU MIGHT LIKE THIS FILM. HONESTLY, IT WASN'T REALLY MY CUP OF TEA. I SHOULD'VE JUST GONE TO BED RATHER THAN SPEND MY TIME WATCHING.<BR /><BR />FOR A BETTER SCIENCE-FICTION MOVIE PRODUCED ON AN EVEN LOWER BUDGET (!) HAVE A LOOK AT ""PRIMER.""",label_unchanged,uppercase,
CHR-GEN-018,imdb-295,SA,"This movie is proof you can't just go to a Redbox and read descriptions of films and pick one and give it a try.<br /><br />While I'll give 'em great credit for having produced a film with halfway-decent special effects on such a low budget, and at least a halfway decent script and story line... unfortunately, it was only just that: halfway decent.<br /><br />If you like movies where things aren't all neatly wrapped up, and don't mind low-budget effects, you might like this film. Honestly, it wasn't really my cup of tea. I should've just gone to bed rather than spend my time watching.<br /><br />For a better science-fiction movie produced on an even LOWER budget (!) have a look at ""Primer.""",0,"this movie is proof you can't just go to a redbox and read descriptions of films and pick one and give it a try.<br /><br />while i'll give 'em great credit for having produced a film with halfway-decent special effects on such a low budget, and at least a halfway decent script and story line... unfortunately, it was only just that: halfway decent.<br /><br />if you like movies where things aren't all neatly wrapped up, and don't mind low-budget effects, you might like this film. honestly, it wasn't really my cup of tea. i should've just gone to bed rather than spend my time watching.<br /><br />for a better science-fiction movie produced on an even lower budget (!) have a look at ""primer.""",label_unchanged,lowercase,
CHR-GEN-018,imdb-10521,SA,I was actually looking forward to this movie. The commercials made it look real cool and action packed. And I heard that Claire Daines' character was arrested for assault so I thought that maybe she would kick a lot of ass and that would be cool. BUT NOOOOOOOO!!. Their was hardly any action at all and the character were all kinda bland. The only saving grace was Omar Epps and even he didn't help this movie much.,0,I WAS ACTUALLY LOOKING FORWARD TO THIS MOVIE. THE COMMERCIALS MADE IT LOOK REAL COOL AND ACTION PACKED. AND I HEARD THAT CLAIRE DAINES' CHARACTER WAS ARRESTED FOR ASSAULT SO I THOUGHT THAT MAYBE SHE WOULD KICK A LOT OF ASS AND THAT WOULD BE COOL. BUT NOOOOOOOO!!. THEIR WAS HARDLY ANY ACTION AT ALL AND THE CHARACTER WERE ALL KINDA BLAND. THE ONLY SAVING GRACE WAS OMAR EPPS AND EVEN HE DIDN'T HELP THIS MOVIE MUCH.,label_unchanged,uppercase,
CHR-GEN-018,imdb-10521,SA,I was actually looking forward to this movie. The commercials made it look real cool and action packed. And I heard that Claire Daines' character was arrested for assault so I thought that maybe she would kick a lot of ass and that would be cool. BUT NOOOOOOOO!!. Their was hardly any action at all and the character were all kinda bland. The only saving grace was Omar Epps and even he didn't help this movie much.,0,i was actually looking forward to this movie. the commercials made it look real cool and action packed. and i heard that claire daines' character was arrested for assault so i thought that maybe she would kick a lot of ass and that would be cool. but noooooooo!!. their was hardly any action at all and the character were all kinda bland. the only saving grace was omar epps and even he didn't help this movie much.,label_unchanged,lowercase,
CHR-GEN-018,imdb-7102,SA,"Maybe it's because I'm no fan of the comics (but if the comics are of the same ""quality"" as the movie, it's hard to believe there are any), but this has to be one of the worst movies ever made. Non-existent plot, laughable acting, dumb dialogue... This movie is so bad that it hurts. A lot. That some people actually gave this one 10/10 is an insult to any good or at least mediocre (or at least bad) movie. If you hate yourself, then watch Tank Girl! On another thought, if you hate yourself THAT much, maybe you should just commit suicide... My rating: -34/10",0,"MAYBE IT'S BECAUSE I'M NO FAN OF THE COMICS (BUT IF THE COMICS ARE OF THE SAME ""QUALITY"" AS THE MOVIE, IT'S HARD TO BELIEVE THERE ARE ANY), BUT THIS HAS TO BE ONE OF THE WORST MOVIES EVER MADE. NON-EXISTENT PLOT, LAUGHABLE ACTING, DUMB DIALOGUE... THIS MOVIE IS SO BAD THAT IT HURTS. A LOT. THAT SOME PEOPLE ACTUALLY GAVE THIS ONE 10/10 IS AN INSULT TO ANY GOOD OR AT LEAST MEDIOCRE (OR AT LEAST BAD) MOVIE. IF YOU HATE YOURSELF, THEN WATCH TANK GIRL! ON ANOTHER THOUGHT, IF YOU HATE YOURSELF THAT MUCH, MAYBE YOU SHOULD JUST COMMIT SUICIDE... MY RATING: -34/10",label_unchanged,uppercase,
CHR-GEN-018,imdb-7102,SA,"Maybe it's because I'm no fan of the comics (but if the comics are of the same ""quality"" as the movie, it's hard to believe there are any), but this has to be one of the worst movies ever made. Non-existent plot, laughable acting, dumb dialogue... This movie is so bad that it hurts. A lot. That some people actually gave this one 10/10 is an insult to any good or at least mediocre (or at least bad) movie. If you hate yourself, then watch Tank Girl! On another thought, if you hate yourself THAT much, maybe you should just commit suicide... My rating: -34/10",0,"maybe it's because i'm no fan of the comics (but if the comics are of the same ""quality"" as the movie, it's hard to believe there are any), but this has to be one of the worst movies ever made. non-existent plot, laughable acting, dumb dialogue... this movie is so bad that it hurts. a lot. that some people actually gave this one 10/10 is an insult to any good or at least mediocre (or at least bad) movie. if you hate yourself, then watch tank girl! on another thought, if you hate yourself that much, maybe you should just commit suicide... my rating: -34/10",label_unchanged,lowercase,
CHR-GEN-018,imdb-20957,SA,"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought provoking scenes. Just plain old college kids having fun and if a few breasts have to be shown, then so be it! This movie is for when you just want to relax and NOT think. Viva la nudity!",1,"THIS HAS TO BE MY GUILTY PLEASURE. I AM A HUGE FAN OF 80'S MOVIES THAT WERE DESIGNED TO ENTERTAIN AND THEY DIDN'T CARE IF THEY OFFENDED ANYONE. THIS MOVE HAS NO MEAT, NOT SUBSTANCE, NO DEEP THOUGHT PROVOKING SCENES. JUST PLAIN OLD COLLEGE KIDS HAVING FUN AND IF A FEW BREASTS HAVE TO BE SHOWN, THEN SO BE IT! THIS MOVIE IS FOR WHEN YOU JUST WANT TO RELAX AND NOT THINK. VIVA LA NUDITY!",label_unchanged,uppercase,
CHR-GEN-018,imdb-20957,SA,"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought provoking scenes. Just plain old college kids having fun and if a few breasts have to be shown, then so be it! This movie is for when you just want to relax and NOT think. Viva la nudity!",1,"this has to be my guilty pleasure. i am a huge fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. this move has no meat, not substance, no deep thought provoking scenes. just plain old college kids having fun and if a few breasts have to be shown, then so be it! this movie is for when you just want to relax and not think. viva la nudity!",label_unchanged,lowercase,
CHR-GEN-018,imdb-749,SA,"Compared to the recent gore flick HOSTEL, which this movie reminded me a lot of-- I would say that See No Evil is slightly better but not by much. The very complex plot involves a handful of delinquents who are sent to clean up a rundown hotel for a shorter jail sentence. The kids soon end up being killed off by a lumbering religious psychopath who is cleansing them of their sins (I guess). The one thing I dreaded most prior to seeing this was the fact that it stared a WWE wrestler, Kane. He ended up doing a decent job considering he only had 2 one-word lines in the movie. There are a couple fairly gory moments, mainly involving eye-gouging and a quite memorable scene in which a girl gets a cellphone shoved down her throat-- probably the most effective demise in the movie.<br /><br />I can't say that this movie really shows us anything new and is definitely far from great. Can't recommend it.",0,"COMPARED TO THE RECENT GORE FLICK HOSTEL, WHICH THIS MOVIE REMINDED ME A LOT OF-- I WOULD SAY THAT SEE NO EVIL IS SLIGHTLY BETTER BUT NOT BY MUCH. THE VERY COMPLEX PLOT INVOLVES A HANDFUL OF DELINQUENTS WHO ARE SENT TO CLEAN UP A RUNDOWN HOTEL FOR A SHORTER JAIL SENTENCE. THE KIDS SOON END UP BEING KILLED OFF BY A LUMBERING RELIGIOUS PSYCHOPATH WHO IS CLEANSING THEM OF THEIR SINS (I GUESS). THE ONE THING I DREADED MOST PRIOR TO SEEING THIS WAS THE FACT THAT IT STARED A WWE WRESTLER, KANE. HE ENDED UP DOING A DECENT JOB CONSIDERING HE ONLY HAD 2 ONE-WORD LINES IN THE MOVIE. THERE ARE A COUPLE FAIRLY GORY MOMENTS, MAINLY INVOLVING EYE-GOUGING AND A QUITE MEMORABLE SCENE IN WHICH A GIRL GETS A CELLPHONE SHOVED DOWN HER THROAT-- PROBABLY THE MOST EFFECTIVE DEMISE IN THE MOVIE.<BR /><BR />I CAN'T SAY THAT THIS MOVIE REALLY SHOWS US ANYTHING NEW AND IS DEFINITELY FAR FROM GREAT. CAN'T RECOMMEND IT.",label_unchanged,uppercase,
CHR-GEN-018,imdb-749,SA,"Compared to the recent gore flick HOSTEL, which this movie reminded me a lot of-- I would say that See No Evil is slightly better but not by much. The very complex plot involves a handful of delinquents who are sent to clean up a rundown hotel for a shorter jail sentence. The kids soon end up being killed off by a lumbering religious psychopath who is cleansing them of their sins (I guess). The one thing I dreaded most prior to seeing this was the fact that it stared a WWE wrestler, Kane. He ended up doing a decent job considering he only had 2 one-word lines in the movie. There are a couple fairly gory moments, mainly involving eye-gouging and a quite memorable scene in which a girl gets a cellphone shoved down her throat-- probably the most effective demise in the movie.<br /><br />I can't say that this movie really shows us anything new and is definitely far from great. Can't recommend it.",0,"compared to the recent gore flick hostel, which this movie reminded me a lot of-- i would say that see no evil is slightly better but not by much. the very complex plot involves a handful of delinquents who are sent to clean up a rundown hotel for a shorter jail sentence. the kids soon end up being killed off by a lumbering religious psychopath who is cleansing them of their sins (i guess). the one thing i dreaded most prior to seeing this was the fact that it stared a wwe wrestler, kane. he ended up doing a decent job considering he only had 2 one-word lines in the movie. there are a couple fairly gory moments, mainly involving eye-gouging and a quite memorable scene in which a girl gets a cellphone shoved down her throat-- probably the most effective demise in the movie.<br /><br />i can't say that this movie really shows us anything new and is definitely far from great. can't recommend it.",label_unchanged,lowercase,
